 Nx=          50 Ny=           8         M=       12000
     153     162          -0.017002080           0.020559482          -0.001987740          -0.001883654
     161     170          -0.016865461           0.015543116          -0.000820038          -0.000667549
     169     178          -0.016160233           0.018607450          -0.001371241          -0.001243275
     177     186          -0.017344852           0.018970355          -0.001484922          -0.001360684
     185     194          -0.016252179           0.015429490          -0.000824722          -0.000678698
     193     202          -0.016780725           0.020487927          -0.001917267          -0.001810782
     201     210          -0.017068304           0.016262512          -0.000949667          -0.000801800
     209     218          -0.016128456           0.017708877          -0.001209417          -0.001079004
     217     226          -0.017357737           0.019820222          -0.001699936          -0.001581746
     225     234          -0.016461281           0.015172107          -0.000793847          -0.000641250
     233     242          -0.016627359           0.020176614          -0.001835387          -0.001734167
     241     250          -0.017319721           0.017193463          -0.001059766          -0.000917123

     154     163          -0.016970873           0.020656321          -0.001914325          -0.001944174
     162     171          -0.016833594           0.015624722          -0.000707458          -0.000737453
     170     179          -0.016128777           0.018693202          -0.001280139          -0.001305191
     178     187          -0.017313115           0.019054504          -0.001398584          -0.001427854
     186     195          -0.016215202           0.015507089          -0.000717006          -0.000743722
     194     203          -0.016749619           0.020589092          -0.001841939          -0.001872144
     202     211          -0.017037590           0.016361120          -0.000843066          -0.000875148
     210     219          -0.016097035           0.017794981          -0.001116120          -0.001139887
     218     227          -0.017322661           0.019907994          -0.001618166          -0.001647840
     226     235          -0.016423655           0.015257772          -0.000681989          -0.000712221
     234     243          -0.016595770           0.020282170          -0.001763808          -0.001792918
     242     251          -0.017288431           0.017282808          -0.000957465          -0.000989285

     155     164          -0.016972135           0.020651680          -0.001906725          -0.001936476
     163     172          -0.016839320           0.015629342          -0.000690087          -0.000744526
     171     180          -0.016129001           0.018680255          -0.001261325          -0.001305869
     179     188          -0.017309929           0.019052842          -0.001385445          -0.001423402
     187     196          -0.016220780           0.015502886          -0.000697680          -0.000750335
     195     204          -0.016747615           0.020577103          -0.001831469          -0.001865614
     203     212          -0.017030311           0.016362444          -0.000824048          -0.000878249
     211     220          -0.016093431           0.017781524          -0.001093939          -0.001141325
     219     228          -0.017315553           0.019902623          -0.001604966          -0.001641100
     227     236          -0.016426290           0.015255741          -0.000660592          -0.000719685
     235     244          -0.016591133           0.020269015          -0.001750822          -0.001782643
     243     252          -0.017279834           0.017283724          -0.000940977          -0.000991433

     156     165          -0.016958010           0.020624951          -0.001878911          -0.001915523
     164     173          -0.016829456           0.015615357          -0.000660908          -0.000737689
     172     181          -0.016112943           0.018648236          -0.001229568          -0.001288786
     180     189          -0.017293102           0.019027035          -0.001353687          -0.001404259
     188     197          -0.016212561           0.015489893          -0.000668309          -0.000742099
     196     205          -0.016728096           0.020537448          -0.001801438          -0.001845987
     204     213          -0.017008268           0.016334586          -0.000789852          -0.000865875
     212     221          -0.016073857           0.017750929          -0.001060312          -0.001126217
     220     229          -0.017298338           0.019873078          -0.001573071          -0.001624093
     228     237          -0.016416255           0.015239721          -0.000628273          -0.000711501
     236     245          -0.016565153           0.020223591          -0.001716219          -0.001758780
     244     253          -0.017257323           0.017256121          -0.000909538          -0.000979093

     157     166          -0.016971883           0.020630640          -0.001848882          -0.001938422
     165     174          -0.016847073           0.015617970          -0.000637719          -0.000749948
     173     182          -0.016125353           0.018643193          -0.001199868          -0.001306897
     181     190          -0.017312028           0.019037616          -0.001321708          -0.001422991
     189     198          -0.016233720           0.015493104          -0.000644261          -0.000753516
     197     206          -0.016740204           0.020529280          -0.001772450          -0.001867703
     205     214          -0.017014644           0.016327947          -0.000762691          -0.000878508
     213     222          -0.016084694           0.017747438          -0.001031676          -0.001145523
