Nx=  50 Ny= 8 M= 12000
   1  1     0.872516135634053
   1  2     0.872323153403088
   1  3     0.872962894758141
   1  4     0.873276850173493
   1  5     0.873168695034466
   1  6     0.873159528908255
   1  7     0.873527967546523
   1  8     0.873439171428294
   2  1     0.894854787325721
   2  2     0.894408815100662
   2  3     0.895051789444835
   2  4     0.895415594421642
   2  5     0.895224797549460
   2  6     0.895292447656639
   2  7     0.896096281321251
   2  8     0.896283983615890
   3  1     0.896421552771216
   3  2     0.895838718189417
   3  3     0.896612323463584
   3  4     0.897040417879777
   3  5     0.896582149708251
   3  6     0.896412994035321
   3  7     0.897201854616795
   3  8     0.897568401263492
   4  1     0.847707512785522
   4  2     0.846992486393222
   4  3     0.848288190681007
   4  4     0.849076068099768
   4  5     0.848189882839874
   4  6     0.847596075157036
   4  7     0.848536233396654
   4  8     0.849053846052417
   5  1     0.862722672659874
   5  2     0.861395439848639
   5  3     0.861842280529514
   5  4     0.862263979932561
   5  5     0.861560364198095
   5  6     0.861461607012219
   5  7     0.863023022917223
   5  8     0.864157465200444
   6  1     0.874938207531094
   6  2     0.873434263647068
   6  3     0.873796413976370
   6  4     0.874441220661479
   6  5     0.874102748901254
   6  6     0.874079972674708
   6  7     0.875390279858775
   6  8     0.876354429083246
   7  1     0.867201778815952
   7  2     0.866284881128511
   7  3     0.867325424690309
   7  4     0.868386062243014
   7  5     0.867775186573334
   7  6     0.866864069125826
   7  7     0.867349056531630
   7  8     0.868124937879167
   8  1     0.867728517120456
   8  2     0.867060480895700
   8  3     0.867629250371876
   8  4     0.868114865458909
   8  5     0.867120475457818
   8  6     0.865941439341962
   8  7     0.866429819784925
   8  8     0.867782683465475
   9  1     0.869775691872435
   9  2     0.868330945918414
   9  3     0.868164789328066
   9  4     0.868737456236170
   9  5     0.868721856859630
   9  6     0.868520905609536
   9  7     0.869264133345155
   9  8     0.870323934733060
  10  1     0.865370395910609
  10  2     0.863848012694503
  10  3     0.863989785448959
  10  4     0.865170989747083
  10  5     0.865676793394450
  10  6     0.865509790007741
  10  7     0.865813345399773
  10  8     0.866325373942545
  11  1     0.868064996227610
  11  2     0.867651780667499
  11  3     0.867997737418379
  11  4     0.868486677915262
  11  5     0.867793465403168
  11  6     0.866507059124754
  11  7     0.866439257527151
  11  8     0.867674089589525
  12  1     0.870415732188425
  12  2     0.869847752077773
  12  3     0.869717305876916
  12  4     0.869797375059745
  12  5     0.869023248226245
  12  6     0.867923392175040
  12  7     0.868171682866052
  12  8     0.869762806583874
  13  1     0.867113496048827
  13  2     0.865468495490663
  13  3     0.865250924090948
  13  4     0.866300326249235
  13  5     0.866966582228980
  13  6     0.866910099780745
  13  7     0.867218079597166
  13  8     0.867866303707652
  14  1     0.866072776813088
  14  2     0.864785839828184
  14  3     0.864930840251927
  14  4     0.866158578884611
  14  5     0.866681687296151
  14  6     0.866228672556509
  14  7     0.866154778125201
  14  8     0.866682401567424
  15  1     0.868906378900819
  15  2     0.868550264919588
  15  3     0.868563036280687
  15  4     0.868719331854458
  15  5     0.867866090312737
  15  6     0.866498156412489
  15  7     0.866491917611300
  15  8     0.868074960634226
  16  1     0.868889798011996
  16  2     0.867970072333732
  16  3     0.867680102255109
  16  4     0.867983322465719
  16  5     0.867623338288078
  16  6     0.866792085844693
  16  7     0.867069513705058
  16  8     0.868522416742600
  17  1     0.867339407101423
  17  2     0.865621442324523
  17  3     0.865514473024700
  17  4     0.866883939136973
  17  5     0.867830221155272
  17  6     0.867766131237823
  17  7     0.867845943156753
  17  8     0.868264218339289
  18  1     0.867130625771936
  18  2     0.866124156412057
  18  3     0.866208624176785
  18  4     0.867154777599727
  18  5     0.867324013502661
  18  6     0.866569422989304
  18  7     0.866433264830441
  18  8     0.867257489615415
  19  1     0.868221801412798
  19  2     0.867796096517968
  19  3     0.867642822543154
  19  4     0.867683208036755
  19  5     0.866808788228426
  19  6     0.865478344472380
  19  7     0.865567509597152
  19  8     0.867293760773519
  20  1     0.868487978702000
  20  2     0.867272268710968
  20  3     0.866997089760518
  20  4     0.867661877226385
  20  5     0.867799803795587
  20  6     0.867268943038098
  20  7     0.867472706510492
  20  8     0.868564558679809
  21  1     0.867803427658340
  21  2     0.866260264128684
  21  3     0.866220211654558
  21  4     0.867546322831834
  21  5     0.868401853983678
  21  6     0.868215346497298
  21  7     0.868174240854280
  21  8     0.868584153871317
  22  1     0.867364169441407
  22  2     0.866633491221346
  22  3     0.866627749756599
  22  4     0.867195786011730
  22  5     0.866962914756617
  22  6     0.865991843465711
  22  7     0.865907186705596
  22  8     0.867046675974879
  23  1     0.867881669702807
  23  2     0.867253541718039
  23  3     0.867022257700594
  23  4     0.867174791647147
  23  5     0.866599565238192
  23  6     0.865561427656898
  23  7     0.865702702911226
  23  8     0.867227186396477
  24  1     0.868334476606119
  24  2     0.867007026481546
  24  3     0.866809971775515
  24  4     0.867713177705980
  24  5     0.868189158082457
  24  6     0.867880521444704
  24  7     0.867983062546598
  24  8     0.868727490465779
  25  1     0.867866806783450
  25  2     0.866699881951368
  25  3     0.866685098916624
  25  4     0.867684476677670
  25  5     0.868133310917744
  25  6     0.867684906315206
  25  7     0.867597756555359
  25  8     0.868219701125355
  26  1     0.867587652104645
  26  2     0.866978956981187
  26  3     0.866865530928299
  26  4     0.867169323752899
  26  5     0.866753855551272
