Nx=  50 Ny= 8 M= 12000
   1  1     0.964651630322546
   1  2     0.964334289006292
   1  3     0.964343214908230
   1  4     0.964634858780798
   1  5     0.965017545758193
   1  6     0.965306544916387
   1  7     0.965360366132325
   1  8     0.965117413032936
   2  1     0.911838691200993
   2  2     0.910993943823657
   2  3     0.911061304656836
   2  4     0.911790890290283
   2  5     0.912701080737832
   2  6     0.913402499284050
   2  7     0.913593261583356
   2  8     0.913136911186650
   3  1     0.863536824852175
   3  2     0.862336076978641
   3  3     0.862436178221941
   3  4     0.863312758335252
   3  5     0.864306891569801
   3  6     0.865056888980397
   3  7     0.865355926019181
   3  8     0.865137274538443
   4  1     0.852318809525007
   4  2     0.851223572262973
   4  3     0.851237647110339
   4  4     0.851782013406968
   4  5     0.852324837061175
   4  6     0.852696257788462
   4  7     0.852953329682830
   4  8     0.853238338002773
   5  1     0.865085093242184
   5  2     0.864372792144938
   5  3     0.864253049772822
   5  4     0.864345201129586
   5  5     0.864382059149990
   5  6     0.864353001527042
   5  7     0.864503321718390
   5  8     0.865141201395177
   6  1     0.872919198577278
   6  2     0.872468884763185
   6  3     0.872301035985890
   6  4     0.872177218685018
   6  5     0.871982620751062
   6  6     0.871795262442893
   6  7     0.871906980559986
   6  8     0.872652063185870
   7  1     0.873259079827525
   7  2     0.872773614418049
   7  3     0.872621925755904
   7  4     0.872552324217997
   7  5     0.872421201238327
   7  6     0.872288036242762
   7  7     0.872414870668758
   7  8     0.873118030959148
   8  1     0.869726175588727
   8  2     0.869125762412001
   8  3     0.868984450599519
   8  4     0.869013999888542
   8  5     0.868997843337332
   8  6     0.868950450032900
   8  7     0.869107172424078
   8  8     0.869758096179255
   9  1     0.868432970700164
   9  2     0.867786569226411
   9  3     0.867652007853910
   9  4     0.867719196816508
   9  5     0.867750138370450
   9  6     0.867737640391713
   9  7     0.867899573815753
   9  8     0.868520742031652
  10  1     0.868575016527806
  10  2     0.867946387743659
  10  3     0.867812217476440
  10  4     0.867867902188330
  10  5     0.867886081436573
  10  6     0.867862673025317
  10  7     0.868015678475969
  10  8     0.868635824468923
  11  1     0.869247688054266
  11  2     0.868641288653195
  11  3     0.868506937015785
  11  4     0.868546185119736
  11  5     0.868543955711468
  11  6     0.868504421556592
  11  7     0.868651050725374
  11  8     0.869279206814355
  12  1     0.869332747119767
  12  2     0.868731333677507
  12  3     0.868595867527995
  12  4     0.868630883644724
  12  5     0.868622909331955
  12  6     0.868579828394522
  12  7     0.868727383105538
  12  8     0.869359995132381
  13  1     0.869259569456500
  13  2     0.868652295056293
  13  3     0.868516968066103
  13  4     0.868556296711241
  13  5     0.868553834812864
  13  6     0.868515423416729
  13  7     0.868665213320854
  13  8     0.869295680911914
  14  1     0.869128271041968
  14  2     0.868517275408739
  14  3     0.868382325678317
  14  4     0.868425126079171
  14  5     0.868426775347846
  14  6     0.868391381181150
  14  7     0.868541831133415
  14  8     0.869169884653427
  15  1     0.869123794272492
  15  2     0.868512877410333
  15  3     0.868378203699691
  15  4     0.868421132580684
  15  5     0.868422982118125
  15  6     0.868387545730083
  15  7     0.868537651426335
  15  8     0.869165251876940
  16  1     0.869113663101645
  16  2     0.868502602991996
  16  3     0.868366316242157
  16  4     0.868407650069087
  16  5     0.868408978791205
  16  6     0.868374073150398
  16  7     0.868525364103356
  16  8     0.869154059506171
  17  1     0.869137196808184
  17  2     0.868523131466474
  17  3     0.868383062213157
  17  4     0.868423223948323
  17  5     0.868427002720509
  17  6     0.868395534820461
  17  7     0.868549231863501
  17  8     0.869178430510740
  18  1     0.869181244237593
  18  2     0.868564786878600
  18  3     0.868421103441859
  18  4     0.868459288197530
  18  5     0.868465297776115
  18  6     0.868435931683963
  18  7     0.868590969937542
  18  8     0.869221572426092
  19  1     0.869251266797595
  19  2     0.868634658093787
  19  3     0.868490806527221
  19  4     0.868527239930827
  19  5     0.868530330725973
  19  6     0.868499470939375
  19  7     0.868654594130076
  19  8     0.869287389143107
  20  1     0.869292276496332
  20  2     0.868676435443354
  20  3     0.868533642194301
  20  4     0.868570288399953
  20  5     0.868570419595769
  20  6     0.868536872624303
  20  7     0.868691359164085
  20  8     0.869325679257880
  21  1     0.869301483990938
  21  2     0.868687305008458
  21  3     0.868545140901898
  21  4     0.868582601121909
  21  5     0.868581935990684
  21  6     0.868546496967571
  21  7     0.868699642060864
  21  8     0.869333750714218
  22  1     0.869287668668390
  22  2     0.868673562140003
  22  3     0.868531521238811
  22  4     0.868569902291117
  22  5     0.868570024228125
  22  6     0.868534447328797
  22  7     0.868687026739262
  22  8     0.869320381515587
  23  1     0.869280756190310
  23  2     0.868666121459839
  23  3     0.868524130717177
  23  4     0.868563225951092
  23  5     0.868564243501565
  23  6     0.868529106372882
  23  7     0.868681621106847
  23  8     0.869314345955596
  24  1     0.869283327659589
  24  2     0.868668490825535
  24  3     0.868526842516488
  24  4     0.868566949311113
  24  5     0.868569069178116
  24  6     0.868534131489436
  24  7     0.868685846158431
  24  8     0.869317462589363
  25  1     0.869281924858156
  25  2     0.868668311319718
  25  3     0.868527565034935
  25  4     0.868568683213212
  25  5     0.868571687114532
  25  6     0.868536415411802
  25  7     0.868685973717893
  25  8     0.869315559605109
  26  1     0.869255841498274
  26  2     0.868642365289993
  26  3     0.868503549070989
  26  4     0.868545428169646
  26  5     0.868549326191038
  26  6     0.868514344093991
  26  7     0.868662474479915
  26  8     0.869286005882337
  27  1     0.869228606896072
  27  2     0.868614168547685
  27  3     0.868472284005776
  27  4     0.868508207378803
  27  5     0.868503647762527
  27  6     0.868457839228752
  27  7     0.868589510360233
  27  8     0.869194300213855
  28  1     0.869177679159239
  28  2     0.868557356363290
  28  3     0.868414859566726
  28  4     0.868453009677679
  28  5     0.868450236631018
  28  6     0.868403813528747
  28  7     0.868532809441382
  28  8     0.869137158572530
  29  1     0.869149632295509
  29  2     0.868525704519850
  29  3     0.868381667730017
  29  4     0.868420569425744
  29  5     0.868419220300371
  29  6     0.868373787654777
  29  7     0.868503148897591
  29  8     0.869108919135139
  30  1     0.869142363300701
  30  2     0.868517436292389
  30  3     0.868373074386213
  30  4     0.868412442784736
  30  5     0.868411955338992
  30  6     0.868367309619947
  30  7     0.868497050624233
  30  8     0.869102658615517
  31  1     0.869141839772925
  31  2     0.868516712601354
  31  3     0.868372251990838
  31  4     0.868411608459652
  31  5     0.868411265029816
  31  6     0.868366791972166
  31  7     0.868496617005321
  31  8     0.869102221623344
  32  1     0.869150215866055
  32  2     0.868525410990032
  32  3     0.868381093690894
  32  4     0.868420296265784
  32  5     0.868419560725402
  32  6     0.868374695346479
  32  7     0.868504480228433
  32  8     0.869110290406440
  33  1     0.869152684018225
  33  2     0.868528347626839
  33  3     0.868384603370038
  33  4     0.868424011908638
  33  5     0.868422999755251
  33  6     0.868377520438392
  33  7     0.868507060328616
  33  8     0.869112831542343
  34  1     0.869156460693226
  34  2     0.868532511946531
  34  3     0.868389548045947
  34  4     0.868429586025120
  34  5     0.868428796841788
  34  6     0.868383203279403
  34  7     0.868512194430415
  34  8     0.869117338999882
  35  1     0.869125824723373
  35  2     0.868502132440086
  35  3     0.868359733597211
  35  4     0.868400000362261
  35  5     0.868399082633560
  35  6     0.868353073488147
  35  7     0.868481475461904
  35  8     0.869086603347927
  36  1     0.869104222459588
  36  2     0.868480554872119
  36  3     0.868337419411984
  36  4     0.868376617094299
  36  5     0.868374457115865
  36  6     0.868327655614301
  36  7     0.868456229150245
  36  8     0.869062915403056
  37  1     0.869089995381459
  37  2     0.868464373504916
  37  3     0.868319505060003
  37  4     0.868358318184315
  37  5     0.868356841593709
  37  6     0.868311201539504
  37  7     0.868441199789813
  37  8     0.869048552973204
  38  1     0.869224719614600
  38  2     0.868595848607505
  38  3     0.868450522845362
  38  4     0.868491691481133
  38  5     0.868494398728773
  38  6     0.868452883669386
  38  7     0.868584311181458
  38  8     0.869188610403229
  39  1     0.869302853805412
  39  2     0.868671659123415
  39  3     0.868527795974563
  39  4     0.868572991956255
  39  5     0.868580839391501
  39  6     0.868543712747753
  39  7     0.868675906442310
  39  8     0.869275100633132
  40  1     0.869225740346010
  40  2     0.868599048523138
  40  3     0.868455623516023
  40  4     0.868496727160090
  40  5     0.868498440124988
  40  6     0.868456930726229
  40  7     0.868588355361047
  40  8     0.869193241824767
  41  1     0.868569198525145
  41  2     0.867950496644471
  41  3     0.867800384975746
  41  4     0.867825163354550
  41  5     0.867806404422851
  41  6     0.867748449626186
  41  7     0.867879867700757
  41  8     0.868507222816464
  42  1     0.868452007402825
  42  2     0.867832045930020
  42  3     0.867672954945787
  42  4     0.867687016375858
  42  5     0.867655827813419
  42  6     0.867586639124538
  42  7     0.867718439176868
  42  8     0.868363373266409
  43  1     0.869715287064687
  43  2     0.869065776323905
  43  3     0.868912268761787
  43  4     0.868961640595350
  43  5     0.868977611821379
  43  6     0.868945859881644
  43  7     0.869084093038015
  43  8     0.869682709325596
  44  1     0.873115888416593
  44  2     0.872416097351239
  44  3     0.872293151502565
  44  4     0.872427634223997
  44  5     0.872556903685172
  44  6     0.872622518767648
  44  7     0.872770302940554
  44  8     0.873254664044500
  45  1     0.872613481998365
  45  2     0.871873474463794
  45  3     0.871765916553794
  45  4     0.871953472950057
  45  5     0.872144561421636
  45  6     0.872262790861251
  45  7     0.872426311535379
  45  8     0.872876668866539
  46  1     0.864990105096575
  46  2     0.864353595149812
  46  3     0.864207060445202
  46  4     0.864238842609555
  46  5     0.864202104878415
  46  6     0.864107261099842
  46  7     0.864223772092518
