 Nx=          50 Ny=           8 Jd= -6.928203230275511E-002 t2=
  -4.24264068711929      N_up=           0 N_down=           0        3600 12000
     197     137      -0.000123637
     197     138      -0.000014051
     197     139       0.000072010
     197     140       0.000183239
     197     141      -0.000336422
     197     142       0.000163543
     197     143       0.000050794
     197     144      -0.000014903
     197     145      -0.000953670
     197     146       0.000127121
     197     147       0.000705510
     197     148      -0.000025737
     197     149      -0.000686409
     197     150      -0.000035397
     197     151       0.000737578
     197     152       0.000129584
     197     153      -0.001179676
     197     154       0.000397198
     197     155       0.000861645
     197     156      -0.000716814
     197     157       0.000035655
     197     158      -0.000690938
     197     159       0.000928360
     197     160       0.000393420
     197     161       0.000040258
     197     162       0.000428889
     197     163      -0.000339432
     197     164      -0.001521689
     197     165       0.002647447
     197     166      -0.001470111
     197     167      -0.000211066
     197     168       0.000416947
     197     169       0.001630030
     197     170      -0.000210364
     197     171      -0.001710374
     197     172      -0.001103719
     197     173       0.004932598
     197     174      -0.001240113
     197     175      -0.001698986
     197     176      -0.000234116
     197     177       0.002984167
     197     178      -0.000447709
     197     179      -0.001425280
     197     180       0.000119794
     197     181       0.001176409
     197     182      -0.000255378
     197     183      -0.001535448
     197     184      -0.000403085
     197     185       0.001549118
     197     186       0.000345115
     197     187       0.001158139
     197     188       0.001097585
     197     189      -0.012439487
     197     190       0.001028080
     197     191       0.001181772
     197     192       0.000413200
     197     193      -0.004685676
     197     194      -0.003682374
     197     195       0.000305554
     197     196       0.011373795
     197     197       0.000000000
     197     198       0.011366228
     197     199       0.000299165
     197     200      -0.003635547
     197     201       0.001698085
     197     202       0.000587131
     197     203       0.001207906
     197     204       0.000906000
     197     205      -0.012302384
     197     206       0.001027393
     197     207       0.001175945
     197     208       0.000488031
     197     209       0.002936100
     197     210      -0.000406658
     197     211      -0.001525632
     197     212      -0.000331541
     197     213       0.001271519
     197     214       0.000011967
     197     215      -0.001457071
     197     216      -0.000448263
     197     217       0.001514747
     197     218      -0.000248260
     197     219      -0.001712171
     197     220      -0.001238914
     197     221       0.004926132
     197     222      -0.001154494
     197     223      -0.001684416
     197     224      -0.000236375
     197     225      -0.000082101
     197     226       0.000406480
     197     227      -0.000206853
     197     228      -0.001409511
     197     229       0.002626032
     197     230      -0.001528787
     197     231      -0.000282786
     197     232       0.000398231
     197     233      -0.001261828
     197     234       0.000397621
     197     235       0.000923816
     197     236      -0.000651796
     197     237       0.000021793
     197     238      -0.000721157
     197     239       0.000886855
     197     240       0.000390603
     197     241      -0.000991951
     197     242       0.000150636
     197     243       0.000727162
     197     244      -0.000033205
     197     245      -0.000684303
     197     246      -0.000018991
     197     247       0.000711180
     197     248       0.000135926
     197     249      -0.000102428
     197     250       0.000007836
     197     251       0.000045768
     197     252       0.000151180
     197     253      -0.000336941
     197     254       0.000191740
     197     255       0.000057499
     197     256      -0.000002739
     197     257       0.000339200
     197     258      -0.000047480
     197     259      -0.000283703
     197     260       0.000132270
     197     261       0.000040595
     197     262       0.000150962
     197     263      -0.000270922
     197     264      -0.000051060

     198     137      -0.000008458
     198     138      -0.000133595
     198     139      -0.000012744
     198     140       0.000068571
     198     141       0.000192227
     198     142      -0.000353817
     198     143       0.000181342
     198     144       0.000059089
     198     145       0.000123907
     198     146      -0.000938469
     198     147       0.000134894
     198     148       0.000709753
     198     149      -0.000027964
     198     150      -0.000696333
     198     151      -0.000027015
     198     152       0.000737549
     198     153       0.000370472
     198     154      -0.001153063
     198     155       0.000398421
     198     156       0.000860836
     198     157      -0.000735925
     198     158       0.000070714
     198     159      -0.000717007
     198     160       0.000911201
